X1,X2,X3,X4,Y
66.91,60.19,29.52,70.35,623.38
45.34,45.1,36.3,52.9,468.22
50.33,44.93,18.55,41.96,412.17
54.08,48.68,33.47,43.29,510.02
42.11,39.28,31.11,76.95,475.15
50.02,49.1,17.05,52.35,470.39
49.99,48.09,40.7,86.9,555.98
32.45,32.45,24.37,91.33,402.72
60.18,56.28,35.47,65.72,583.83
56,52.86,26.64,94.88,591.82
43.75,39.28,37.95,73.41,481.91
48.28,45.24,40.5,86.87,544.78
55.05,53.49,23.36,66.61,527.86
47.39,44.42,17.76,84.39,499.07
47.57,46.14,28.95,55.85,483.58
35.47,32.55,36.79,79.34,422.11
55.55,51.58,27.03,63.11,549.2
51.24,48.76,25.09,68.04,527.8
52.74,49.72,33.91,79.48,571.86
34.73,34.18,7.91,72.59,370.14
66.51,63.54,24.68,68.88,616.67
51.54,52.45,18.93,80.92,510.51
46.13,43.38,32.36,82.05,524.85
70.29,66.32,24.11,49.22,570.75
49.55,44.99,21.08,78.38,491.78
35.49,33.76,27.17,80.07,416.79
45.95,45.02,18.25,58.72,469.09
27.12,24.28,29.9,75.79,358.2
60.49,57.37,24.54,50.14,529
45.84,44.98,26.98,91.59,489.66
42.57,40.19,24.26,66.44,431.32
60.72,56.65,37.3,68.82,602.1
33.49,33.76,29.13,87.96,433.43
55.35,52.78,34.2,67.86,555.26
29.36,28.68,33.84,78.98,381.33
43.38,43.55,23.55,54.29,437.3
37.96,38.35,34.56,61.45,456
64.62,60.69,32.79,49.11,567.99
67.66,63.23,32.51,66.88,636.77
46.71,44.94,26.81,85.47,543.94
58.41,55.22,26.59,73.35,583.03
48.2,41.99,36.28,83.26,512.41
55.68,55.45,47.46,54.61,590.08
42.47,40.39,23.36,56.75,414.89
32.92,32.74,34.28,63.02,399.58
31.97,28.02,27.07,78.59,418.69
53.83,53.72,36.28,75.35,610.62
72.48,67.68,33.51,69.77,641.56
52.69,49.84,38.48,79.34,578.83
44.75,39.71,7.64,67.73,459.43
69.12,65.33,25.19,69.68,627.63
52.37,49.29,22.09,89.57,549.42
51.01,48.09,29.14,61.21,536.72
52.53,50.78,24.21,72.74,519.39
48.68,46.36,24.87,94.18,541.96
46.91,46.51,35.45,71.53,513.28
35.65,32.93,45.22,80.6,419.44
55.02,50.27,7.41,60.9,491.66
49.05,46.56,27.52,99.35,544.33
61.93,60.09,32.5,36.26,577.03
46.31,46.49,30.04,52.99,515.51
30.94,31.02,27.24,54.19,372.49
49,43.02,19.17,94.3,503.14
67,64.4,22.46,75.29,639.61
46.17,46.78,35.8,66.07,509.39
41.1,39.17,38.61,50.77,462.62
38.06,35.13,30.77,75.46,409.16
39.5,38.14,23.31,71.71,410.24
47,43.64,30.77,59.61,436
38.2,37.57,28.08,47.63,412.45
